排名,片名,年份,時長,分級,連結
118,發條橘子,1971,2h 16m,R-18,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_118
2,教父,1972,2h 55m,18+,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
117,刺激,1973,2h 9m,0+,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_117
230,大法師,1973,2h 2m,18+,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_230
4,教父Ⅱ,1974,3h 22m,18+,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
166,唐人街,1974,2h 10m,12+,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_166
19,飛越杜鵑窩,1975,2h 13m,6+,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
127,Hababam Sinifi: Sinifta Kaldi,1975,1h 35m,,https://www.imdb.com/title/tt0252488/?ref_=chttp_t_127
160,聖杯傳奇,1975,1h 31m,12+,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_160
185,亂世兒女,1975,3h 5m,PG,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_185
200,大白鯊,1975,2h 4m,0+,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_200
132,計程車司機,1976,1h 54m,12+,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_132
212,洛基,1976,2h,PG,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
240,螢光幕後,1976,2h 1m,R,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_240
29,星際大戰,1977,2h 1m,0+,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
206,越戰獵鹿人,1978,3h 3m,R-18,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_206
49,異形,1979,1h 57m,12+,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_49
55,現代啟示錄,1979,2h 27m,18+,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55
15,星際大戰五部曲：帝國大反擊,1980,2h 4m,0+,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
66,鬼店,1980,2h 26m,15+,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_66
